Geography,National,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maine-1,Maine-2,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nebraska-1,Nebraska-2,Nebraska-3,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Maine,0.018,0.002,0.001,0.006,0.001,0.002,0.003,0.001,0.001,0.0,0.006,0.007,0.001,0.003,0.0,0.002,0.004,0.002,0.003,0.002,0.834,0.004,0.006,0.001,0.002,0.007,0.005,0.001,0.003,0.003,0.0,0.002,0.002,0.0,0.001,0.002,0.001,0.001,0.001,0.007,0.001,0.005,0.002,0.003,0.01,0.0,0.003,0.0,0.001,0.004,0.002,0.006,0.002,0.002,0.001,0.008,0.0
Maine-1,0.033,0.003,0.002,0.011,0.002,0.003,0.005,0.003,0.002,0.0,0.011,0.013,0.002,0.005,0.0,0.003,0.008,0.004,0.005,0.004,0.01,0.698,0.01,0.002,0.003,0.013,0.009,0.003,0.005,0.006,0.0,0.004,0.004,0.0,0.003,0.004,0.003,0.002,0.002,0.012,0.002,0.009,0.003,0.005,0.017,0.0,0.005,0.0,0.003,0.007,0.004,0.011,0.004,0.003,0.002,0.014,0.0
Maine-2,0.018,0.002,0.001,0.006,0.001,0.002,0.003,0.001,0.001,0.0,0.006,0.007,0.001,0.002,0.0,0.002,0.004,0.002,0.003,0.002,0.006,0.004,0.839,0.001,0.001,0.007,0.005,0.001,0.003,0.003,0.0,0.002,0.002,0.0,0.001,0.002,0.001,0.001,0.001,0.007,0.001,0.005,0.002,0.003,0.009,0.0,0.003,0.0,0.001,0.004,0.002,0.006,0.002,0.002,0.001,0.008,0.0
Maryland,0.082,0.006,0.005,0.025,0.004,0.011,0.015,0.008,0.005,0.0,0.026,0.031,0.006,0.007,0.0,0.006,0.012,0.007,0.009,0.009,0.012,0.009,0.012,0.367,0.01,0.023,0.021,0.006,0.008,0.008,0.0,0.005,0.005,0.0,0.007,0.009,0.01,0.005,0.008,0.025,0.005,0.016,0.006,0.01,0.034,0.0,0.01,0.0,0.005,0.015,0.008,0.016,0.014,0.009,0.003,0.026,0.0
Massachusetts,0.055,0.004,0.003,0.016,0.003,0.008,0.01,0.006,0.003,0.0,0.017,0.019,0.004,0.005,0.0,0.004,0.009,0.005,0.007,0.006,0.009,0.006,0.009,0.004,0.574,0.016,0.015,0.003,0.006,0.006,0.0,0.003,0.004,0.0,0.005,0.006,0.007,0.003,0.006,0.016,0.003,0.011,0.004,0.007,0.025,0.0,0.006,0.0,0.003,0.01,0.005,0.012,0.009,0.006,0.002,0.019,0.0
Michigan,0.008,0.001,0.0,0.003,0.001,0.001,0.001,0.001,0.001,0.0,0.003,0.003,0.0,0.001,0.0,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.002,0.0,0.001,0.933,0.002,0.001,0.001,0.001,0.0,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.002,0.001,0.001,0.004,0.0,0.001,0.0,0.001,0.002,0.001,0.002,0.001,0.001,0.0,0.004,0.0
Minnesota,0.014,0.001,0.001,0.004,0.001,0.002,0.002,0.001,0.001,0.0,0.004,0.005,0.001,0.001,0.0,0.001,0.003,0.001,0.002,0.002,0.003,0.002,0.003,0.001,0.001,0.005,0.89,0.001,0.002,0.002,0.0,0.001,0.001,0.0,0.001,0.002,0.001,0.001,0.001,0.004,0.001,0.003,0.001,0.002,0.007,0.0,0.002,0.0,0.001,0.003,0.001,0.003,0.002,0.001,0.001,0.006,0.0
Mississippi,0.058,0.007,0.004,0.019,0.005,0.007,0.008,0.004,0.004,0.0,0.018,0.028,0.004,0.007,0.0,0.006,0.012,0.006,0.012,0.011,0.011,0.008,0.012,0.003,0.005,0.021,0.015,0.489,0.008,0.008,0.0,0.005,0.005,0.0,0.005,0.006,0.005,0.005,0.004,0.023,0.004,0.015,0.007,0.007,0.026,0.0,0.011,0.0,0.005,0.013,0.006,0.013,0.008,0.005,0.003,0.023,0.0
Missouri,0.05,0.005,0.003,0.017,0.004,0.005,0.007,0.004,0.003,0.0,0.016,0.021,0.003,0.006,0.0,0.005,0.011,0.006,0.009,0.007,0.011,0.008,0.011,0.003,0.004,0.019,0.013,0.004,0.564,0.007,0.0,0.004,0.005,0.0,0.004,0.005,0.004,0.004,0.003,0.019,0.003,0.014,0.005,0.007,0.025,0.0,0.008,0.0,0.004,0.01,0.005,0.012,0.006,0.005,0.002,0.021,0.0
Montana,0.039,0.003,0.003,0.014,0.003,0.004,0.006,0.003,0.003,0.0,0.013,0.015,0.003,0.006,0.0,0.004,0.009,0.004,0.007,0.005,0.01,0.007,0.011,0.002,0.003,0.015,0.011,0.003,0.006,0.643,0.0,0.004,0.005,0.0,0.003,0.005,0.003,0.003,0.003,0.014,0.003,0.011,0.004,0.006,0.02,0.0,0.006,0.0,0.003,0.008,0.004,0.011,0.005,0.004,0.002,0.017,0.0
Nebraska,0.117,0.009,0.007,0.038,0.007,0.013,0.019,0.008,0.007,0.0,0.034,0.045,0.007,0.014,0.0,0.011,0.026,0.013,0.018,0.014,0.024,0.017,0.025,0.006,0.01,0.041,0.033,0.009,0.015,0.016,0.0,0.01,0.011,0.0,0.01,0.012,0.01,0.008,0.008,0.04,0.009,0.029,0.011,0.016,0.056,0.0,0.016,0.0,0.009,0.024,0.012,0.027,0.014,0.011,0.005,0.051,0.0
Nebraska-1,0.059,0.005,0.004,0.02,0.004,0.006,0.009,0.005,0.004,0.0,0.021,0.023,0.004,0.008,0.0,0.006,0.014,0.007,0.01,0.007,0.018,0.013,0.019,0.003,0.005,0.023,0.016,0.005,0.008,0.01,0.0,0.452,0.008,0.0,0.005,0.008,0.005,0.004,0.004,0.022,0.004,0.016,0.006,0.009,0.031,0.0,0.009,0.0,0.005,0.012,0.007,0.019,0.008,0.005,0.003,0.026,0.0
Nebraska-2,0.055,0.005,0.003,0.019,0.004,0.006,0.008,0.004,0.004,0.0,0.019,0.021,0.004,0.008,0.0,0.005,0.013,0.006,0.009,0.007,0.017,0.012,0.017,0.003,0.005,0.021,0.015,0.004,0.008,0.009,0.0,0.007,0.492,0.0,0.004,0.007,0.004,0.004,0.004,0.02,0.004,0.014,0.005,0.008,0.029,0.0,0.009,0.0,0.004,0.011,0.006,0.018,0.007,0.005,0.003,0.024,0.0
Nebraska-3,0.106,0.009,0.007,0.037,0.007,0.011,0.016,0.008,0.007,0.0,0.037,0.042,0.007,0.015,0.0,0.01,0.025,0.012,0.017,0.013,0.033,0.023,0.034,0.005,0.009,0.041,0.028,0.008,0.015,0.018,0.0,0.013,0.015,0.0,0.009,0.014,0.008,0.008,0.007,0.039,0.008,0.028,0.01,0.015,0.056,0.0,0.017,0.0,0.008,0.021,0.012,0.034,0.014,0.01,0.006,0.046,0.0
Nevada,0.068,0.005,0.004,0.024,0.004,0.009,0.01,0.005,0.004,0.0,0.022,0.026,0.005,0.007,0.0,0.005,0.011,0.006,0.009,0.008,0.011,0.007,0.011,0.004,0.006,0.019,0.015,0.005,0.007,0.008,0.0,0.004,0.005,0.0,0.486,0.005,0.006,0.005,0.006,0.021,0.004,0.013,0.005,0.009,0.026,0.0,0.008,0.0,0.004,0.015,0.006,0.012,0.009,0.006,0.002,0.022,0.0
New Hampshire,0.049,0.004,0.003,0.016,0.003,0.006,0.009,0.005,0.003,0.0,0.015,0.017,0.004,0.006,0.0,0.004,0.01,0.005,0.007,0.005,0.013,0.009,0.013,0.003,0.005,0.017,0.015,0.004,0.006,0.007,0.0,0.005,0.005,0.0,0.004,0.564,0.005,0.003,0.004,0.017,0.004,0.012,0.004,0.007,0.025,0.0,0.007,0.0,0.003,0.009,0.006,0.015,0.008,0.005,0.002,0.02,0.0
New Jersey,0.058,0.004,0.003,0.018,0.003,0.009,0.01,0.005,0.003,0.0,0.018,0.02,0.004,0.005,0.0,0.004,0.008,0.005,0.006,0.006,0.008,0.006,0.008,0.004,0.007,0.015,0.015,0.004,0.005,0.005,0.0,0.003,0.004,0.0,0.005,0.006,0.57,0.003,0.006,0.017,0.003,0.011,0.004,0.007,0.024,0.0,0.006,0.0,0.003,0.011,0.006,0.01,0.009,0.006,0.002,0.018,0.0
New Mexico,0.069,0.006,0.004,0.026,0.005,0.009,0.011,0.005,0.004,0.0,0.024,0.028,0.005,0.008,0.0,0.006,0.013,0.007,0.011,0.01,0.014,0.01,0.014,0.004,0.006,0.023,0.017,0.006,0.009,0.009,0.0,0.005,0.006,0.0,0.006,0.007,0.006,0.409,0.005,0.025,0.004,0.016,0.007,0.009,0.031,0.0,0.011,0.0,0.005,0.016,0.007,0.015,0.009,0.006,0.003,0.026,0.0
New York,0.061,0.004,0.003,0.018,0.003,0.01,0.01,0.005,0.004,0.0,0.019,0.021,0.004,0.005,0.0,0.004,0.008,0.005,0.006,0.006,0.008,0.006,0.008,0.004,0.007,0.017,0.015,0.004,0.006,0.006,0.0,0.003,0.004,0.0,0.005,0.005,0.007,0.004,0.554,0.017,0.003,0.011,0.004,0.007,0.025,0.0,0.007,0.0,0.003,0.012,0.005,0.011,0.009,0.006,0.002,0.019,0.0
North Carolina,0.009,0.001,0.0,0.003,0.001,0.001,0.001,0.001,0.001,0.0,0.003,0.004,0.001,0.001,0.0,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.002,0.0,0.001,0.003,0.002,0.001,0.001,0.001,0.0,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.931,0.0,0.002,0.001,0.001,0.004,0.0,0.001,0.0,0.001,0.002,0.001,0.002,0.001,0.001,0.0,0.003,0.0
